urn,order,name,party_acronym,vote
urn2,55,Segundo Quiroz,APP,INDETERMINADO
urn2,56,Wilson Quispe,JPP,OPCION 4
urn2,57,Jaime Quito,BS,OPCION 4
urn2,58,Tania Ramírez,FP,INDETERMINADO
urn2,59,Janet Rivas,PL,OPCION 4
urn2,60,Silvana Robles,BS,OPCION 4
urn2,61,Magaly Ruíz,APP,INDETERMINADO
urn2,62,Eduardo Salhuana,APP,INDETERMINADO
urn2,63,Wilson Soto,AP,INDETERMINADO
urn2,64,Germán Tacuri,JPP,OPCION 4
urn2,65,María Taipe,PL,OPCION 4
urn2,66,Nivardo Tello,PP,INDETERMINADO
urn2,67,Cheryl Trigozo,RP,INDETERMINADO
urn2,68,Jorge Zeballos,RP,INDETERMINADO
urn2,69,Carlos Zeballos,BDP,INDETERMINADO
urn2,70,Ana Zegarra,SP,INDETERMINADO
urn2,71,Luis Aragón,AP,INDETERMINADO
urn2,72,Margot Palacios,NA,INDETERMINADO
urn2,73,Hilda Portero,AP,INDETERMINADO
