order,urn,name,name_acronym,party,party_acronym,vote,estrato_visual,color_rgba,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
20,urn2,Victor Cutipa,VC,Juntos por el Perú,JPP,OPCION 4,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,89,bandeja2,7,0.057397,-3.980663,0.283143,14.71,19.33,100.24,57,OPCION 4,6.1
8,urn2,Rosselli Amuruz,RA,Avanza País,AvP,INDETERMINADO,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,103,bandeja2,7,0.055326,-3.989717,0.276333,14.1,19.66,98.76,58,OPCION 4,6.2
6,urn2,Maria del Carmen Alva,MCA,Acción Popular,AP,OPCION 2,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,108,bandeja2,7,-0.049808,-3.956833,0.275743,-38.43,-37.45,39.07,59,OPCION 2,6.3
11,urn2,Rosangella Barbarán,RB,Fuerza Popular,FP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,106,bandeja2,7,0.01153,-4.054782,0.259748,-1.18,-9.64,13.61,60,OPCION 4,6.4
9,urn2,José Arriola,JA,Podemos Perú,PP,INDETERMINADO,Cluster_5,"(0.8, 0.2, 1.0, 1.0)",7094,109,bandeja2,7,-0.028712,-3.994636,0.268887,-21.94,-29.89,15.84,61,OPCION 2,6.5
16,urn2,Eduardo Castillo,EC,Fuerza Popular,FP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,98,bandeja2,7,0.056953,-3.992652,0.245847,12.58,-3.81,102.79,62,OPCION 4,6.6
21,urn2,Raúl Doroteo,RD,No agrupado,NA,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,104,bandeja2,7,0.051972,-3.99929,0.236837,13.01,3.56,71.1,63,OPCION 4,6.7
15,urn2,Ernesto Bustamante,EB,Fuerza Popular,FP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,101,bandeja2,7,0.041277,-3.987464,0.229395,9.86,9.26,42.94,64,OPCION 4,6.8
12,urn2,Diego Bazán,DB,Renovación Popular,RP,INDETERMINADO,Cluster_6,"(0.0, 1.0, 1.0, 1.0)",7094,97,bandeja2,7,0.044313,-3.996017,0.218609,12.66,4.64,65.36,65,OPCION 2,6.9
30,urn2,Elva Julon,EJ,Alianza para el Progreso,APP,INDETERMINADO,Cluster_7,"(1.0, 0.5, 0.0, 1.0)",7094,87,bandeja2,7,-0.026237,-3.956749,0.272027,-32.94,17.41,90.97,66,OPCION 4,7.0
