order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
17,urn1,Nelcy Heidinger,NH,Alianza para el Progreso,APP,INDETERMINADO,5531,20,bandeja1,132,0.142682,4.019658,0.062913,-12.29,0.52,-81.93,20,OPCION 4,2.4
14,urn1,Alex Flores,AF,Bancada Socialista,BS,OPCION 4,5531,25,bandeja1,132,0.022911,3.942924,0.076163,42.2,-5.89,21.03,21,OPCION 4,2.5
18,urn1,Mery Infantes,MI,Fuerza Popular,FP,INDETERMINADO,5531,21,bandeja1,132,-0.087564,3.881257,0.059594,156.45,-0.07,31.77,22,OPCION 2,2.6
19,urn1,Patricia Juárez,PJ,Fuerza Popular,FP,INDETERMINADO,5531,22,bandeja1,132,0.02459,4.15065,0.069205,150.0,0.79,-10.39,23,OPCION 2,2.7
12,urn1,Hamlet Echeverría,HE,Juntos por el Perú,JPP,OPCION 4,5531,26,bandeja1,132,0.089693,3.8865,0.102155,-11.87,32.05,-79.89,24,OPCION 4,2.8
11,urn1,Pasión Dávila,PD,Bancada Socialista,BS,OPCION 4,5531,28,bandeja1,132,0.160999,4.010782,0.074449,167.68,-0.11,-84.71,25,OPCION 4,2.9
25,urn1,Auristela Obando,AO,Fuerza Popular,FP,INDETERMINADO,5531,23,bandeja1,132,0.079894,4.068429,0.099189,38.0,-0.45,-40.61,26,OPCION 2,3.0
22,urn1,Jorge Marticorena,JM,Alianza para el Progreso,APP,INDETERMINADO,5531,24,bandeja1,132,0.075816,3.913897,0.076262,-7.14,174.2,21.2,27,OPCION 2,3.1
33,urn1,Elías Varas,EV,Juntos por el Perú,JPP,OPCION 4,5531,29,bandeja1,132,-0.116061,3.891924,0.085766,7.75,-1.48,28.61,28,OPCION 4,3.2
15,urn1,Víctor Flores,VF,Fuerza Popular,FP,INDETERMINADO,5531,27,bandeja1,132,-0.056095,4.123372,0.080723,-121.86,-10.44,-16.67,29,OPCION 2,3.3
9,urn1,Flavio Cruz,FC,Perú Libre,PL,OPCION 4,5531,30,bandeja1,132,0.090971,3.924197,0.097221,-145.45,-7.97,42.23,30,OPCION 4,3.4
5,urn1,José Balcázar,JB,Perú Libre,PL,OPCION 4,5531,35,bandeja1,132,-0.13076,3.972485,0.087657,45.35,-19.26,-15.99,31,OPCION 4,3.5
13,urn1,Jorge Flores,JF,Alianza para el Progreso,APP,INDETERMINADO,5531,31,bandeja1,132,0.113487,4.096995,0.085295,7.89,-173.88,58.13,32,OPCION 4,3.6
7,urn1,Luis Cordero,LC,Alianza para el Progreso,APP,INDETERMINADO,5531,32,bandeja1,132,0.054143,4.002485,0.074193,-5.56,9.85,-10.06,33,OPCION 4,3.7
1,urn1,María Agüero,MA,Perú Libre,PL,OPCION 4,5531,38,bandeja1,132,0.03359,4.031105,0.087094,-44.96,-14.03,-33.19,34,OPCION 4,3.8
10,urn1,José Cueto,JC,Renovación Popular,RP,INDETERMINADO,5531,33,bandeja1,132,0.032796,4.064259,0.069283,84.97,-9.07,-39.75,35,VICIADO,3.9
4,urn1,Luis Alegría,LA,Fuerza Popular,FP,OPCION 2,5531,37,bandeja1,132,-0.011674,3.899128,0.082293,-7.03,-6.93,115.65,36,OPCION 2,4.0
8,urn1,Isabel Cortez,IC,No agrupado,NA,INDETERMINADO,5531,34,bandeja1,132,0.001489,3.836459,0.067328,1.13,-34.04,-13.31,37,OPCION 2,4.1
3,urn1,Yorel Alcarraz,YA,Somos Perú,SP,INDETERMINADO,5531,36,bandeja1,132,0.091093,4.014301,0.099878,-133.83,16.43,-3.18,38,OPCION 4,4.2
6,urn1,Nilza Chacón,NC,Fuerza Popular,FP,INDETERMINADO,5531,39,bandeja1,132,-0.097808,4.138955,0.061032,117.85,-0.07,-143.93,39,OPCION 4,4.3
2,urn1,Alejandro Aguinaga,AA,Fuerza Popular,FP,INDETERMINADO,5531,40,bandeja1,132,-0.015115,3.874844,0.08826,-172.33,-6.23,19.16,40,OPCION 2,4.4
64,urn2,Germán Tacuri,GT,Juntos por el Perú,JPP,OPCION 4,5531,44,bandeja1,132,-0.0044,3.861946,0.102441,6.84,-7.09,25.92,41,OPCION 4,4.5
65,urn2,María Taipe,MT,Perú Libre,PL,OPCION 4,5531,46,bandeja1,132,-0.08379,4.099019,0.0966,-92.06,-8.31,-15.08,42,OPCION 4,4.6
70,urn2,Ana Zegarra,AZ,Somos Perú,SP,INDETERMINADO,5531,41,bandeja1,132,-0.157394,3.956962,0.098258,22.86,8.9,-86.37,43,OPCION 4,4.7
73,urn2,Hilda Portero,HP,Acción Popular,AP,INDETERMINADO,5531,42,bandeja1,132,-0.040474,4.105758,0.101665,-92.13,-13.16,-14.89,44,OPCION 2,4.8
68,urn2,Jorge Zeballos,JZ,Renovación Popular,RP,INDETERMINADO,5531,43,bandeja1,132,-0.025186,4.006715,0.115095,6.83,-11.34,-9.7,45,OPCION 2,4.9
72,urn2,Margot Palacios,MP,No agrupado,NA,INDETERMINADO,5531,45,bandeja1,132,-0.044144,3.889031,0.108358,100.82,-7.37,25.24,46,OPCION 2,5.0
69,urn2,Carlos Zeballos,CZ,Bloque Democrático Popular,BDP,INDETERMINADO,5531,47,bandeja1,132,-0.108437,4.086336,0.088305,87.95,-10.75,-15.01,47,OPCION 2,5.1
59,urn2,Janet Rivas,JR,Perú Libre,PL,OPCION 4,5531,49,bandeja1,132,-0.042853,3.92489,0.099864,7.37,-6.57,21.6,48,OPCION 4,5.2
66,urn2,Nivardo Tello,NT,Perú Libre,PL,OPCION 4,5531,50,bandeja1,132,-0.016982,4.060357,0.098481,-48.61,38.58,33.42,49,OPCION 4,5.3
56,urn2,Wilson Quispe,WQ,Juntos por el Perú,JPP,OPCION 4,5531,51,bandeja1,132,0.019373,4.000321,0.10827,37.08,-11.2,-11.06,50,OPCION 4,5.4
67,urn2,Cheryl Trigozo,CT,Renovación Popular,RP,INDETERMINADO,5531,48,bandeja1,132,-0.050811,3.920696,0.116742,6.9,-6.99,25.32,51,OPCION 2,5.5
62,urn2,Eduardo Salhuana,ES,Alianza para el Progreso,APP,INDETERMINADO,5531,52,bandeja2,132,0.017754,-4.164478,0.058612,-19.07,-0.07,6.38,52,OPCION 2,5.6
51,urn2,Susel Paredes,SP,Bloque Democrático Popular,BDP,INDETERMINADO,5531,53,bandeja2,132,0.119716,-3.916763,0.051735,0.05,-0.0,-150.22,53,OPCION 2,5.7
58,urn2,Tania Ramírez,TR,Fuerza Popular,FP,INDETERMINADO,5531,55,bandeja2,132,0.005012,-3.938213,0.04735,0.36,0.03,-17.58,54,OPCION 2,5.8
54,urn2,Kelly Portalatino,KP,Perú Libre,PL,OPCION 4,5531,54,bandeja2,132,-0.008622,-3.972307,0.044713,-0.53,0.14,-17.56,55,OPCION 4,5.9
63,urn2,Wilson Soto,WS,Acción Popular,AP,INDETERMINADO,5531,56,bandeja2,132,-0.134761,-3.971292,0.049651,0.16,0.08,-41.12,56,OPCION 2,6.0
71,urn2,Luis Aragón,LA,Acción Popular,AP,INDETERMINADO,5531,57,bandeja2,132,-0.000789,-4.118577,0.048703,-0.01,0.04,7.03,57,OPCION 4,6.1
57,urn2,Jaime Quito,JQ,Bancada Socialista,BS,OPCION 4,5531,62,bandeja2,132,0.159267,-3.976579,0.088645,-84.45,-1.42,-19.1,58,OPCION 4,6.2
48,urn2,Francis Paredes,FP,Podemos Perú,PP,INDETERMINADO,5531,58,bandeja2,132,0.059832,-3.873441,0.04997,-0.27,0.09,-115.24,59,OPCION 2,6.3
52,urn2,Alfredo Sinche,AS,Bancada Socialista,BS,OPCION 4,5531,63,bandeja2,132,-0.140678,-4.044647,0.049006,1.11,-1.25,-40.96,60,OPCION 4,6.4
50,urn2,Alex Paredes,AP,Somos Perú,SP,INDETERMINADO,5531,59,bandeja2,132,0.136779,-3.97677,0.050993,-0.09,-1.55,15.49,61,OPCION 2,6.5
53,urn2,Luis Picón,LP,Podemos Perú,PP,INDETERMINADO,5531,60,bandeja2,132,0.104501,-4.050016,0.044821,-0.15,-0.08,8.15,62,OPCION 4,6.6
49,urn2,Karol Paredes,KP,Avanza País,AvP,INDETERMINADO,5531,61,bandeja2,132,-0.112854,-3.918389,0.04924,-0.21,-0.02,-36.45,63,OPCION 4,6.7
55,urn2,Segundo Quiroz,SQ,Alianza para el Progreso,APP,INDETERMINADO,5531,64,bandeja2,132,0.074743,-3.859914,0.069947,-179.69,1.54,-23.25,64,OPCION 4,6.8
61,urn2,Magaly Ruíz,MR,Alianza para el Progreso,APP,INDETERMINADO,5531,65,bandeja2,132,-0.086226,-4.083218,0.063693,136.35,-0.1,-24.67,65,OPCION 2,6.9
45,urn2,Ariana Orué,AO,Podemos Perú,PP,INDETERMINADO,5531,66,bandeja2,132,0.105352,-4.132914,0.056025,153.81,0.37,38.37,66,OPCION 4,7.0
60,urn2,Silvana Robles,SR,Bancada Socialista,BS,OPCION 4,5531,71,bandeja2,132,0.066023,-4.048324,0.061875,1.02,0.75,-117.49,67,OPCION 4,7.1
35,urn2,Pedro Martínez,PM,Acción Popular,AP,OPCION 2,5531,72,bandeja2,132,0.103561,-3.890861,0.086596,-0.27,1.5,-43.31,68,OPCION 2,7.2
44,urn2,Leslie Olivos,LO,Fuerza Popular,FP,INDETERMINADO,5531,67,bandeja2,132,0.050831,-3.939488,0.065485,-20.8,-1.13,-20.65,69,OPCION 4,7.3
47,urn2,Javier Padilla,JP,Honor y Democracia,HyD,INDETERMINADO,5531,68,bandeja2,132,-0.102226,-4.118292,0.062923,143.62,24.41,3.85,70,OPCION 4,7.4
39,urn2,Jorge Montoya,JM,Honor y Democracia,HyD,INDETERMINADO,5531,69,bandeja2,132,0.073628,-4.11833,0.058541,-90.03,-0.02,38.31,71,OPCION 2,7.5
37,urn2,Isaac Mita,IM,Perú Libre,PL,OPCION 4,5531,75,bandeja2,132,-0.027567,-3.934038,0.074363,-22.45,3.55,-14.99,72,OPCION 4,7.6
42,urn2,Martha Moyano,MM,Fuerza Popular,FP,INDETERMINADO,5531,70,bandeja2,132,0.140182,-4.034343,0.068665,-1.32,5.59,-108.98,73,OPCION 2,7.7
38,urn2,Silvia Monteza,SM,Acción Popular,AP,INDETERMINADO,5531,73,bandeja2,132,-0.034115,-3.965665,0.059957,-0.64,4.71,-16.57,74,OPCION 4,7.8
43,urn2,Alejandro Muñante,AM,Renovación Popular,RP,INDETERMINADO,5531,74,bandeja2,132,0.008649,-3.865575,0.051191,0.55,2.89,-115.34,75,OPCION 2,7.9
34,urn2,José Luna,JL,Podemos Perú,PP,INDETERMINADO,5531,76,bandeja2,132,-0.017137,-4.10649,0.062184,149.93,0.65,8.1,76,OPCION 4,8.0
32,urn2,Juan Lizarzaburu,JL,Alianza para el Progreso,APP,INDETERMINADO,5531,77,bandeja2,132,-0.077085,-4.062114,0.06928,136.22,-0.0,-24.47,77,OPCION 4,8.1
41,urn2,Juan Mori,JM,Acción Popular,FP,INDETERMINADO,5531,78,bandeja2,132,-0.019385,-4.021622,0.055279,141.53,0.02,-29.75,78,OPCION 2,8.2
