order,urn,name,name_acronym,party,party_acronym,vote,sim_seed,extraction_rank,bandeja_destino,sim_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,conteo_orden,conteo_rol,conteo_z
58,urn2,Tania Ramírez,TR,Fuerza Popular,FP,INDETERMINADO,8709,55,bandeja2,1,0.108354,-3.847018,0.049986,-0.01,0.02,27.2,53,OPCION 2,5.7
61,urn2,Magaly Ruíz,MR,Alianza para el Progreso,APP,INDETERMINADO,8709,56,bandeja2,1,0.127476,-3.789769,0.062958,-33.95,-0.01,-31.38,54,OPCION 2,5.8
60,urn2,Silvana Robles,SR,Bancada Socialista,BS,OPCION 4,8709,53,bandeja2,1,0.055395,-3.813196,0.049995,0.01,0.01,26.98,55,OPCION 4,5.9
55,urn2,Segundo Quiroz,SQ,Alianza para el Progreso,APP,INDETERMINADO,8709,57,bandeja2,1,0.099276,-4.210639,0.049945,-0.05,179.99,24.73,56,OPCION 2,6.0
59,urn2,Janet Rivas,JR,Perú Libre,PL,OPCION 4,8709,54,bandeja2,1,-0.124103,-4.184954,0.04998,-179.25,-0.4,-11.09,57,OPCION 4,6.1
57,urn2,Jaime Quito,JQ,Bancada Socialista,BS,OPCION 4,8709,60,bandeja2,1,0.159509,-4.120326,0.049957,0.01,0.02,74.44,58,OPCION 4,6.2
50,urn2,Alex Paredes,AP,Somos Perú,SP,INDETERMINADO,8709,58,bandeja2,1,0.192792,-4.002925,0.049997,-0.02,0.02,85.9,59,OPCION 2,6.3
56,urn2,Wilson Quispe,WQ,Juntos por el Perú,JPP,OPCION 4,8709,62,bandeja2,1,0.139385,-4.163931,0.069967,0.03,-0.01,57.79,60,OPCION 4,6.4
53,urn2,Luis Picón,LP,Podemos Perú,PP,INDETERMINADO,8709,59,bandeja2,1,-0.077446,-3.800164,0.049862,0.14,0.11,27.33,61,OPCION 2,6.5
52,urn2,Alfredo Sinche,AS,Bancada Socialista,BS,OPCION 4,8709,64,bandeja2,1,-0.179446,-3.859974,0.069894,0.06,-0.05,-86.05,62,OPCION 4,6.6
49,urn2,Karol Paredes,KP,Avanza País,AvP,INDETERMINADO,8709,61,bandeja2,1,-0.164032,-3.851058,0.049945,0.15,0.08,-159.2,63,OPCION 4,6.7
48,urn2,Francis Paredes,FP,Podemos Perú,PP,INDETERMINADO,8709,63,bandeja2,1,0.134124,-3.946869,0.049985,-0.01,-0.01,-96.42,64,OPCION 4,6.8
47,urn2,Javier Padilla,JP,Honor y Democracia,HyD,INDETERMINADO,8709,65,bandeja2,1,0.206368,-3.913494,0.066152,90.54,-0.0,27.05,65,OPCION 2,6.9
54,urn2,Kelly Portalatino,KP,Perú Libre,PL,OPCION 4,8709,67,bandeja2,1,-0.215211,-4.061066,0.049999,0.33,-0.24,11.73,66,OPCION 4,7.0
51,urn2,Susel Paredes,SP,Bloque Democrático Popular,BDP,INDETERMINADO,8709,66,bandeja2,1,-0.151087,-4.057924,0.049992,-0.01,-0.0,-78.29,67,OPCION 4,7.1
44,urn2,Leslie Olivos,LO,Fuerza Popular,FP,INDETERMINADO,8709,68,bandeja2,1,0.088987,-4.145469,0.049978,-0.03,-0.01,-65.22,68,OPCION 2,7.2
42,urn2,Martha Moyano,MM,Fuerza Popular,FP,INDETERMINADO,8709,69,bandeja2,1,0.009593,-3.777221,0.049981,179.96,0.0,26.73,69,OPCION 4,7.3
